Date and Time of initial call,Borough,Property,Location,Species Description,Species Status,Animal Condition,Animal Class,Final Ranger Action,# of Animals,Year,full_address
2022-06-03 12:08:00,Queens,Alley Pond Park,"Oakland Lake, under signage on Cloverdale Blvd by 46 Ave.",common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Unfounded,0.0,2022,"Alley Pond Park, Queens, NY"
2022-06-03 13:45:00,Manhattan,Central Park,Gapstow Bridge by 59th Street Pond,canada goose,Native,Unhealthy,Birds,Rehabilitator,1.0,2022,"Central Park, Manhattan, NY"
2022-06-04 02:30:00,Queens,Flushing Meadows Corona Park,Between Queens Museum and the Tennis Center,raptor (unknown),Native,Injured,Raptors,Unfounded,0.0,2022,"Flushing Meadows Corona Park, Queens, NY"
2022-06-04 09:05:00,Brooklyn,Prospect Park,Terrace Bridge,raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-04 14:00:00,Bronx,Pelham Bay Park,Pelham Bay Nature Center,mallard duck,Native,Healthy,Birds,Rehabilitator,3.0,2022,"Pelham Bay Park, Bronx, NY"
2022-06-04 15:00:00,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Lot 1 by the playground,raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2022,"Franklin D. Roosevelt Boardwalk and Beach, Staten Island, NY"
2022-06-04 15:00:00,Brooklyn,Prospect Park,LeFrak Center,mute swan,Invasive,Injured,Birds,Rehabilitator,1.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-04 17:30:00,Bronx,Mill Pond Park,Mill Pond Park,virginia opossum,Native,Healthy,Small Mammals-non RVS,Advised/Educated others,1.0,2022,"Mill Pond Park, Bronx, NY"
2022-06-05 10:21:00,Queens,Kissena Park,On small peninsula south of flagpole,dog,Domestic,Unhealthy,Domestic,ACC,1.0,2022,"Kissena Park, Queens, NY"
2022-06-05 10:37:00,Bronx,Pelham Bay Park,Aileen B. Ryan Recreational Complex,european starling,Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2022,"Pelham Bay Park, Bronx, NY"
2022-06-05 11:35:00,Queens,Flushing Meadows Corona Park,Near Queens Museum,red-tailed hawk,Native,,Raptors,Unfounded,0.0,2022,"Flushing Meadows Corona Park, Queens, NY"
2022-06-05 12:00:00,Staten Island,Greenbelt Recreation Center,recreation center vestibule,rock dove,Native,Healthy,Birds,Unfounded,0.0,2022,"Greenbelt Recreation Center, Staten Island, NY"
2022-06-05 12:00:00,Manhattan,Central Park,59th Street Pool,canada goose,Native,Healthy,Birds,Unfounded,0.0,2022,"Central Park, Manhattan, NY"
2022-06-05 12:30:00,Bronx,Van Cortlandt Park,Van Cortlandt Nature Center,striped skunk,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2022,"Van Cortlandt Park, Bronx, NY"
2022-06-05 14:00:00,Brooklyn,Prospect Park,Near Litchfield Villa 95 Prospect Park West,bird (unknown),,Injured,Birds,Unfounded,0.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-05 14:45:00,Bronx,Van Cortlandt Park,Van Cortlandt Park Golf Course on Hole 2,red-tailed hawk,Native,Unhealthy,Raptors,Rehabilitator,1.0,2022,"Van Cortlandt Park, Bronx, NY"
2022-06-05 22:00:00,Staten Island,Bradys Pond Park,Brady's Pond water bank,fish (unknown),Native,DOA,Fish-numerous quantity,Unfounded,0.0,2022,"Bradys Pond Park, Staten Island, NY"
2022-06-06 08:40:00,Staten Island,Silver Lake Park,Greenhouse Garden of Silver Lake Park,raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2022,"Silver Lake Park, Staten Island, NY"
2022-06-06 09:00:00,Queens,Cunningham Park,Mulch pile lot,virginia opossum,Native,Injured,Small Mammals-non RVS,Rehabilitator,7.0,2022,"Cunningham Park, Queens, NY"
2022-06-06 12:00:00,Staten Island,Clove Lakes Park,In lake water,dog,Domestic,DOA,Domestic,Unfounded,0.0,2022,"Clove Lakes Park, Staten Island, NY"
2022-06-06 12:30:00,Bronx,Pelham Bay Park,Nature Center,american kestrel,Native,Healthy,Raptors,Relocated/Condition Corrected,1.0,2022,"Pelham Bay Park, Bronx, NY"
2022-06-06 14:10:00,Manhattan,Riverside Park,Near W 116th St,red-tailed hawk,Native,Healthy,Raptors,Relocated/Condition Corrected,1.0,2022,"Riverside Park, Manhattan, NY"
2022-06-06 17:30:00,Brooklyn,Prospect Park,Prospect Park G.A.P.,dog,Domestic,Healthy,Domestic,Unfounded,0.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-07 09:35:00,Manhattan,Inwood Hill Park,Payson Ave & Beak Street,chicken,Domestic,Injured,Birds,ACC,1.0,2022,"Inwood Hill Park, Manhattan, NY"
2022-06-07 10:30:00,Queens,Highland Park,South side of Basin 3,cat,Domestic,Healthy,Domestic,Unfounded,0.0,2022,"Highland Park, Queens, NY"
