,Unnamed: 0,Date and Time of initial call,Borough,Property,Location,Species Description,Species Status,Animal Condition,Animal Class,Final Ranger Action,# of Animals,Year,full_address,latitude,longitude
38,1534,2020-12-07 13:45:00,Staten Island,Kingdom Pond Park,Corner of Kingdom ave and Hylan,white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2020,"Kingdom Pond Park, Staten Island, NY",40.5252066,-74.1861209
40,1551,2020-12-01 09:10:00,Bronx,Pelham Bay Park,Intersection of Shore Road and City Island Road between bike path and guard rail,white-tailed deer,Native,Injured,Deer,ACC,1.0,2020,"Pelham Bay Park, Bronx, NY",40.852548,-73.827938
41,1559,2020-11-27 08:00:00,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,bike path north of Oceanbreeze Fishing Pier- Father Capodanno Blvd and Seaview Ave,white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2020,"Franklin D. Roosevelt Boardwalk and Beach, Staten Island, NY",,
44,1600,2020-11-05 14:14:00,Staten Island,Greenstreet across 269 Cambridge Avenue,Crosstreets were Willow Road East and Cambridge Avenue,white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2020,"Greenstreet across 269 Cambridge Avenue, Staten Island, NY",,
46,1701,2020-09-24 12:00:00,Brooklyn,Calvert Vaux Park,Forested area along southern waterfront,white-tailed deer,Native,Healthy,Deer,Monitored Animal,1.0,2020,"Calvert Vaux Park, Brooklyn, NY",40.5850418,-73.9943969
47,1746,2020-09-09 16:15:00,Staten Island,Snug Harbor Cultural Center,By white garden,white-tailed deer,Native,Injured,Deer,ACC,1.0,2020,"Snug Harbor Cultural Center, Staten Island, NY",40.6424825,-74.1031948
48,1772,2020-08-31 10:45:00,Bronx,Pelham Bay Park,"Adjacent to Rodman's Neck Police firing range.  40.854613, 73.799860",white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2020,"Pelham Bay Park, Bronx, NY",40.852548,-73.827938
49,1859,2020-07-22 09:00:00,Staten Island,Olmsted-Beil House Park,On side of driveway on Hylan blvd side,white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2020,"Olmsted-Beil House Park, Staten Island, NY",40.5319673,-74.1579416
50,1865,2020-07-21 09:05:00,Staten Island,Aesop Park,Fawn was spotted in Aesop playground,white-tailed deer,Native,Healthy,Deer,Relocated/Condition Corrected,1.0,2020,"Aesop Park, Staten Island, NY",40.5095654,-74.2298702
51,1992,2020-06-12 08:27:00,Bronx,Van Cortlandt Park,Rockwood Circle,white-tailed deer,Native,DOA,Deer,Submitted for DEC Testing,1.0,2020,"Van Cortlandt Park, Bronx, NY",40.8970755,-73.8865797
54,2089,2020-05-13 18:00:00,Manhattan,Marcus Garvey Park,"east facing rocky hill, just below the firetower level",white-tailed deer,Native,Healthy,Deer,Monitored Animal,1.0,2020,"Marcus Garvey Park, Manhattan, NY",40.8044856,-73.943669
56,2182,2020-03-09 08:20:00,Staten Island,Bunker Ponds Park,"Sidewalk (40.524248, -74.185237)",white-tailed deer,Native,DOA,Deer,Monitored Animal,1.0,2020,"Bunker Ponds Park, Staten Island, NY",40.5234368,-74.1834934
58,2253,2020-01-27 16:00:00,Staten Island,Wolfe's Pond Park,Hylan Boulevard in middle of street,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2020,"Wolfe's Pond Park, Staten Island, NY",40.5247504,-74.1946167
60,2262,2020-01-22 09:55:00,Staten Island,LaTourette Park & Golf Course,Bucks Hollow Esther Depew Street and London Road,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2020,"LaTourette Park & Golf Course, Staten Island, NY",,
61,2283,2020-01-10 12:00:00,Staten Island,Willowbrook Park,"White Trail, nearest cross-streets Ashworth Avenue and Shirra Avenue",white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2020,"Willowbrook Park, Staten Island, NY",40.5994453,-74.1582914
63,2303,2019-12-23 09:03:00,Bronx,Pelham Bay Park,On the side of Shore Road between Orchard Beach Road and City Island Road.,white-tailed deer,Native,Injured,Deer,ACC,1.0,2019,"Pelham Bay Park, Bronx, NY",40.852548,-73.827938
67,2324,2019-12-12 13:05:00,Staten Island,Brookfield Park,Arthur Kill Road & Greaves avenue,white-tailed deer,Native,Injured,Deer,Monitored Animal,1.0,2019,"Brookfield Park, Staten Island, NY",40.5650743,-74.1625992
69,2347,2019-11-26 15:35:00,Staten Island,High Rock Park,"Near Altamont house, Walden Ave entrance",white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2019,"High Rock Park, Staten Island, NY",40.5832543,-74.1230941
70,2380,2019-10-26 15:15:00,Staten Island,Fairview Park,Off Veterans Road West about 15-20 feet in the woods,white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2019,"Fairview Park, Staten Island, NY",40.530743,-74.233464
71,2384,2019-10-25 13:00:00,Staten Island,Fairview Park,Entrance by West Shore Motor Lodge at Englewood Avenue and Veterans Road West.,white-tailed deer,Native,Injured,Deer,Monitored Animal,1.0,2019,"Fairview Park, Staten Island, NY",40.530743,-74.233464
72,2559,2019-07-22 10:30:00,Staten Island,Clove Lakes Park,Martlings Pond near cemetery,white-tailed deer,Native,Injured,Deer,ACC,1.0,2019,"Clove Lakes Park, Staten Island, NY",40.6187076,-74.1127548
73,2609,2019-06-27 14:40:00,Staten Island,Bunker Ponds Park,"On Hylan Blvd, between Kingdom Ave and Art",white-tailed deer,Native,Injured,Deer,ACC,1.0,2019,"Bunker Ponds Park, Staten Island, NY",40.5234368,-74.1834934
74,2787,2019-03-26 08:30:00,Staten Island,Hylan Boulevard and Ithaca Street,Bluebelt area on Hylan Boulevard and Ithaca Street,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2019,"Hylan Boulevard and Ithaca Street, Staten Island, NY",,
75,2860,2019-02-20 18:40:00,Staten Island,Industrial Park,In small patch of woods along Graham Ave.,white-tailed deer,Native,Healthy,Deer,Monitored Animal,1.0,2019,"Industrial Park, Staten Island, NY",,
79,2910,2019-01-08 09:30:00,Staten Island,Joseph Manna Park,Shrub in park,white-tailed deer,Native,Healthy,Deer,Monitored Animal,1.0,2019,"Joseph Manna Park, Staten Island, NY",40.6257867,-74.1768869
80,2922,2019-01-02 16:20:00,Staten Island,Blood Root Valley,"10 feet off Blue trail, 40.586100, -74.130546",white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2019,"Blood Root Valley, Staten Island, NY",40.5913341,-74.1411586
82,3084,2018-11-01 11:15:00,Bronx,Orchard Beach,Sewage Plant near Turtle Cove,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2018,"Orchard Beach, Bronx, NY",40.8657682,-73.7933152
83,3100,2018-10-31 10:30:00,Staten Island,Bloomingdale Park,In between Lenevar Ave and Maguire Ave,white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2018,"Bloomingdale Park, Staten Island, NY",40.5329936,-74.2147304
84,3112,2018-10-26 16:50:00,Staten Island,Willowbrook Park,Victory Blvd and Morani Street,white-tailed deer,Native,Injured,Deer,ACC,1.0,2018,"Willowbrook Park, Staten Island, NY",40.5994453,-74.1582914
85,3113,2018-10-26 16:00:00,Staten Island,Industrial Park,South Ave and Lois Ln,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2018,"Industrial Park, Staten Island, NY",,
86,3131,2018-10-22 11:50:00,Staten Island,LaTourette Park & Golf Course,"On golf course by the beginning of course along Richmond Hill Road 40.576893,-74.1248599",white-tailed deer,Native,Injured,Deer,ACC,1.0,2018,"LaTourette Park & Golf Course, Staten Island, NY",,
89,3188,2018-10-01 09:00:00,Queens,Forest Park,Forest Park Drive towards Park Lane South.,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2018,"Forest Park, Queens, NY",40.7032323,-73.8461216
90,3240,2018-09-06 10:05:00,Bronx,Pelham Bay Park,Orchard Beach/ City Island Traffic Circle,white-tailed deer,Native,Unhealthy,Deer,ACC,1.0,2018,"Pelham Bay Park, Bronx, NY",40.852548,-73.827938
94,3893,2022-08-20 12:00:00,Staten Island,Lemon Creek Park,Behind 60 Oswald Place,white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2022,"Lemon Creek Park, Staten Island, NY",40.5140341,-74.1986299
96,3909,2022-08-22 15:42:00,Staten Island,High Rock Park,Off of Tonking Ave trailhead,white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2022,"High Rock Park, Staten Island, NY",40.5832543,-74.1230941
97,3936,2022-08-28 08:00:00,Bronx,Van Cortlandt Park,Field across from DOT parking lot,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2022,"Van Cortlandt Park, Bronx, NY",40.8970755,-73.8865797
98,4237,2022-11-11 10:45:00,Bronx,Pelham Bay Park,Glover's Rock,white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2022,"Pelham Bay Park, Bronx, NY",40.852548,-73.827938
99,4820,2023-05-12 11:15:00,Bronx,Van Cortlandt Park,Putnam Trail/Parade Grounds,white-tailed deer,Native,Unhealthy,Deer,Submitted for DEC Testing,1.0,2023,"Van Cortlandt Park, Bronx, NY",40.8970755,-73.8865797
100,4907,2023-05-27 15:00:00,Queens,Alley Pond Park,"White Trail (- 40.763233, -73.751234)",white-tailed deer,Native,Healthy,Deer,Monitored Animal,1.0,2023,"Alley Pond Park, Queens, NY",40.7503214,-73.7421178
102,4967,2023-06-11 11:00:00,Bronx,Pelham Bay Park,Orchard Beach basketball courts,white-tailed deer,Native,Healthy,Deer,Relocated/Condition Corrected,1.0,2023,"Pelham Bay Park, Bronx, NY",40.852548,-73.827938
103,5012,2023-06-18 12:50:00,Bronx,Pelham Bay Park,Orchard Beach Section 7,white-tailed deer,Native,Healthy,Deer,Relocated/Condition Corrected,1.0,2023,"Pelham Bay Park, Bronx, NY",40.852548,-73.827938
104,5100,2024-06-20 15:35:00,Staten Island,Blue Heron Park,62 Phillip avenue,white-tailed deer,Native,DOA,"[""Deer""]",Relocated/Condition Corrected,1.0,2024,"Blue Heron Park, Staten Island, NY",40.5319286,-74.1807917
105,5186,2024-06-05 07:45:00,Queens,Forest Park,Strack Pond,white-tailed deer,Native,Healthy,"[""Deer""]",Monitored Animal,1.0,2024,"Forest Park, Queens, NY",40.7032323,-73.8461216
108,5585,2024-02-11 10:00:00,Manhattan,Fort Washington Park,"South of Public Restroom, about 168th Street. (40°50'43.1""N 73°56'45.5""W)",white-tailed deer,Native,Healthy,"[""Deer""]",Monitored Animal,1.0,2024,"Fort Washington Park, Manhattan, NY",40.8532115,-73.9417568
109,5707,2023-12-31 17:00:00,Bronx,Pelham Bay Park,Siwonony Trail near Bartow/Pell Manor,white-tailed deer,Native,DOA,"[""Deer""]",ACC,1.0,2023,"Pelham Bay Park, Bronx, NY",40.852548,-73.827938
110,5739,2023-12-22 10:00:00,Bronx,Pelham Bay Park,City Island Cirlce,white-tailed deer,Native,Injured,"[""Deer""]",Relocated/Condition Corrected,1.0,2023,"Pelham Bay Park, Bronx, NY",40.852548,-73.827938
112,5833,2023-11-12 13:00:00,Staten Island,Blue Heron Park,"40.53133N, 74.17743W",white-tailed deer,Native,DOA,"[""Deer""]",Relocated/Condition Corrected,1.0,2023,"Blue Heron Park, Staten Island, NY",40.5319286,-74.1807917
113,5912,2023-10-19 13:00:00,Manhattan,Fort Washington Park,Hudson River Greenway and 180th St,white-tailed deer,Native,Healthy,"[""Deer""]",Monitored Animal,1.0,2023,"Fort Washington Park, Manhattan, NY",40.8532115,-73.9417568
114,6077,2023-09-05 09:20:00,Staten Island,Ocean Breeze Track & Field Athletic Complex,second floor ramp/balcony,white-tailed deer,Native,Injured,"[""Deer""]",ACC,1.0,2023,"Ocean Breeze Track & Field Athletic Complex, Staten Island, NY",40.5830686,-74.0751605
116,6371,2023-07-03 11:00:00,Brooklyn,Shore Park and Parkway,U.S. Army gated dock area along shore and bike path under Verazzano Bridge,white-tailed deer,Native,Injured,"[""Deer""]",ACC,1.0,2023,"Shore Park and Parkway, Brooklyn, NY",,
